carro|rodas,viagem,motor,estrada,combustível
celular|toque,bolso,tela,aplicativo,ligação
computador|teclado,tela,arquivo,programa,processo
cadeira|sentar,encosto,pernas,conforto,apoio
mesa|plano,apoio,refeição,superfície,móvel
geladeira|frio,armazenar,cozinha,alimento,energia
televisão|tela,canal,controle,imagem,entretenimento
relógio|tempo,pulso,hora,medição,rotina
caneta|tinta,papel,escrever,traço,material
lápis|grafite,desenho,apagar,esboço,ponta
mochila|costas,transporte,objetos,escola,alça
livro|páginas,história,leitura,conteúdo,autor
copo|líquido,beber,recipiente,uso,vidro
garrafa|tampa,armazenar,bebida,transporte,líquido
chave|abrir,acesso,metal,fechadura,entrada
porta|entrada,passagem,abrir,fechar,divisão
janela|luz,vento,vidro,abertura,visão
sofá|descanso,sala,assento,conforto,almofada
cama|sono,descanso,quarto,colchão,noite
travesseiro|cabeça,sono,macio,apoio,cama
cobertor|calor,inverno,cama,tecido,proteção
fogão|calor,cozinhar,fogo,panela,refeição
forno|assar,calor,cozinha,temperatura,alimento
panela|cozinhar,metal,comida,fogão,preparo
prato|refeição,servir,comida,mesa,uso
talher|comer,mesa,utensílio,refeição,uso
espelho|reflexo,imagem,rosto,vidro,visual
escova|limpeza,cabelo,dentes,cuidado,higiene
pente|cabelo,organizar,fios,aparência,uso
toalha|secar,água,banho,tecido,corpo
sabonete|espuma,limpeza,banho,cheiro,higiene
shampoo|cabelo,espuma,lavar,banho,frasco
condicionador|cabelo,macio,tratamento,lavar,hidratação
secador|ar,calor,cabelo,secar,elétrico
ferro|calor,roupa,alisar,tecido,passar
armário|guardar,roupa,porta,móvel,organização
gaveta|abrir,guardar,móvel,pequeno,objetos
estante|livros,prateleira,organizar,suporte,móvel
luminária|luz,iluminar,ambiente,energia,mesa
lanterna|escuro,luz,portátil,bateria,uso
câmera|foto,imagem,lente,registro,memória
controle|botão,distância,comando,televisão,uso
mouse|cursor,clique,computador,mão,controle
teclado|digitar,teclas,computador,texto,entrada
impressora|papel,tinta,documento,impressão,saída
scanner|digitalizar,imagem,documento,arquivo,entrada
roteador|wifi,rede,internet,sinal,conexão
modem|internet,dados,sinal,conexão,rede
fone|som,ouvido,música,escutar,áudio
caixa|som,volume,música,áudio,alto
cachorro|latido,lealdade,cauda,doméstico,guarda
gato|miado,independente,caça,macio,noturno
leão|selva,juba,rei,caçador,grupo
tigre|listras,selva,caçador,silencioso,força
elefante|grande,tromba,peso,memória,manada
girafa|pescoço,alto,manchas,savana,folhas
zebra|listras,savana,manada,preto,branco
cavalo|corrida,sela,casco,campo,velocidade
vaca|leite,pasto,rebanho,mugido,calma
porco|lama,rosado,grunhido,criação,comida
ovelha|lã,rebanho,calma,pasto,campo
galinha|ovo,penas,granja,cacarejo,pequeno
galo|canto,manhã,penas,crista,quintal
pato|água,bico,penas,nadar,lago
peixe|água,nadar,brânquias,escamas,oceano
tubarão|oceano,predador,dentes,rápido,caça
baleia|oceano,grande,mergulho,sopro,profundo
golfinho|inteligente,oceano,salto,grupo,comunicação
águia|voo,altura,garras,visão,caça
coruja|noturno,olhos,silêncio,voo,sábio
cobra|rastejar,veneno,escamas,silêncio,ataque
jacaré|água,dentes,pântano,força,caça
tartaruga|casco,lento,longevidade,terra,água
coelho|rápido,orelhas,pular,toca,medroso
rato|pequeno,roer,rápido,esconderijo,noturno
morcego|voo,noturno,eco,caverna,asas
urso|grande,pelo,força,hibernação,floresta
lobo|matilha,uivo,caça,selvagem,noite
raposa|astuto,cauda,floresta,silencioso,esperto
macaco|árvore,agilidade,grupo,inteligente,selva
arroz|branco,grão,base,cozido,acompanhamento
feijão|grão,caldo,escuro,cozido,tradicional
macarrão|massa,cozido,prato,italiano,carboidrato
pizza|forno,massa,fatia,recheio,redonda
hambúrguer|carne,pão,lanche,montado,rápido
sanduíche|pão,recheio,camadas,lanche,frio
salada|cru,leve,vegetal,mistura,saudável
sopa|líquido,quente,colher,caldo,conforto
carne|proteína,grelhar,cozinhar,corte,alimento
frango|branco,cozinhar,assado,proteína,leve
peixe|água,cozinhar,leve,marinho,saudável
ovo|casca,cozinhar,proteína,quebrar,versátil
pão|massa,forno,fermento,macio,base
bolo|doce,forno,fatia,aniversário,massa
biscoito|seco,doce,crocante,lanche,pequeno
chocolate|doce,cacau,derreter,barra,sobremesa
sorvete|frio,doce,gelado,verão,sobremesa
queijo|laticínio,salgado,fatiar,derreter,leite
leite|branco,líquido,cálcio,bebida,base
iogurte|fermentado,cremoso,frio,leite,saudável
manteiga|gordura,pão,derreter,amarelo,cozinha
óleo|líquido,fritar,cozinha,gordura,preparo
açúcar|doce,cristal,branco,adoçar,ingrediente
sal|salgado,tempero,grão,realçar,cozinha
café|quente,amargo,energia,xícara,manhã
chá|infusão,quente,ervas,xícara,leve
suco|fruta,líquido,refresco,natural,vitamina
refrigerante|gás,doce,frio,lata,bolhas
água|transparente,essencial,líquido,vida,hidratação
vinho|uva,fermentado,taça,álcool,refinado
cerveja|malte,gás,amargo,copo,gelada
whisky|forte,âmbar,álcool,copo,complexo
vodka|transparente,forte,álcool,neutro,gelado
coquetel|mistura,bebida,álcool,fruta,bar
limonada|ácido,refresco,fruta,água,açúcar
milkshake|gelado,leite,doce,cremoso,sobremesa
torta|massa,recheio,fatia,forno,doce
lasanha|camadas,massa,forno,molho,queijo
risoto|cremoso,arroz,cozinhar,prato,italiano
sushi|arroz,cru,peixe,alga,oriental
temaki|cone,arroz,alga,recheio,japonês
